pl_rade,pl_bmasse,st_teff,pl_eqt,st_mass,sy_dist,st_met
2.74,8.33,5286.0,548.0,0.877,47.2899,0.03
2.923,10.67,5300.0,565.0,0.852,47.2899,0.037
3.0,11.13,5261.0,564.0,0.837,47.2899,0.04
9.07303305,74.1,6128.0,798.3,1.1642,80.6665,0.043
9.718203,77.55052,6089.0,876.0,1.127,80.6665,0.036
3.42633318,5.9,5323.0,703.39,0.9452,68.192,0.332
3.36,5.8,5240.0,755.0,0.94,68.192,0.33
3.41,9.1,5289.0,716.0,0.901,68.192,0.24
3.48,9.6,5289.0,777.0,0.89,68.192,0.24
2.45,7.8,6203.0,943.0,1.126,57.5846,-0.12
2.42763557,10.0,5934.0,1075.31,1.0269,67.6203,-0.05
2.45,10.8,5920.0,1194.0,1.0,67.6203,-0.08
2.16351593,37.3,5634.0,886.44,0.9883,22.4035,0.079
2.58229101,17.2,5634.0,622.31,0.9883,22.4035,0.079
2.99,10.8,5534.0,911.0,0.933,48.9739,0.07
2.91575244,10.5,5513.0,825.22,0.9406,48.9739,0.107
2.9,11.1,5534.0,684.0,0.933,48.9739,0.07
3.06451296,11.1,5513.0,619.59,0.9406,48.9739,0.107
2.884,10.48,6252.6,911.0,1.2,35.26,0.143
2.84,15.9,4582.0,742.7,0.702,31.5666,-0.055
2.79,10.2,4511.0,714.0,0.73,31.5666,0.0
2.73,22.5,4582.0,517.8,0.702,31.5666,-0.055
2.39,9.7,4511.0,498.0,0.73,31.5666,0.0
2.89646124,10.9,6007.0,1128.86,1.1973,99.451,0.215
11.242627,1307.55262,5574.0,405.0,1.018,66.4711,0.34
1.613,5.72,5959.0,2463.0,1.18,109.86,0.255
2.16,7.25,5863.0,1311.0,1.019,45.683,0.018
2.49,17.2,5861.0,460.0,1.25,33.2673,0.06
7.39794,34.9613,5576.0,1089.0,1.157,132.345,0.421
6.86,35.7,5499.0,1053.0,1.12,132.345,0.45
7.263432,38.45743,5622.0,1068.0,1.324,132.345,0.436
1.46954368,2.8,5908.0,1842.23,1.0844,82.3432,0.11
1.35,7.8,5987.0,2042.0,1.109,82.3432,0.1
3.11976057,18.4,5908.0,1212.45,1.0844,82.3432,0.11
3.228,19.2,5987.0,1344.0,1.109,82.3432,0.1
3.89,42.44,5212.0,385.0,0.83,36.9941,0.04
2.247,7.55,5170.0,757.0,0.77,21.5618,-0.23
2.12,8.3,5212.0,751.0,0.85,21.5618,-0.23
2.53,10.1,5089.0,745.0,0.755,62.4491,-0.16
2.53,11.82,5089.0,690.0,0.775,62.4491,-0.16
2.469,9.7,5048.0,753.2,0.8,62.4491,0.0
1.551,4.5,5289.0,1123.0,0.901,68.192,0.24
1.58,4.5,5289.0,1217.0,0.89,68.192,0.24
1.37,5.1,5289.0,998.0,0.89,68.192,0.24
1.538,5.14,5289.0,920.0,0.901,68.192,0.24
22.75427,1021.18779,4590.0,1411.0,0.781,61.7856,0.18
2.56,7.8,5530.0,855.0,0.91,101.694,-0.09
2.53625843,8.9,5618.0,794.96,0.9373,101.694,0.007
2.48,9.4,5530.0,699.0,0.91,101.694,-0.09
2.52442508,10.7,5618.0,650.68,0.9373,101.694,0.007
3.0,379.0,5991.0,1060.0,1.094,58.5146,0.0
3.82838127,8.3,5649.0,640.88,0.942,67.5478,-0.018
3.75,8.4,5550.0,685.0,0.93,67.5478,-0.1
3.42855926,7.0,5649.0,470.31,0.942,67.5478,-0.018
3.34,7.9,5550.0,503.0,0.93,67.5478,-0.1
2.4801338,19.1,5216.0,701.66,0.9342,65.9501,0.248
2.74,20.0,5198.0,757.0,0.898,65.9501,0.27
2.004,3.55,6354.0,1552.0,1.204,31.964,0.025
1.979,3.8,6354.0,1309.0,1.204,31.964,0.025
2.001,7.1,6354.0,1061.0,1.204,31.964,0.025
3.88,21.8,5945.0,1841.0,1.15,188.959,0.22
16.14096,266.9772,6030.0,1780.0,1.3,685.2,0.1
5.28,59.4,5474.0,1446.0,1.121,477.295,0.33
2.592,15.9,5010.0,638.0,0.738,116.474,-0.34
2.592,16.7,5010.0,640.0,0.738,116.474,-0.34
1.82,5.58,5775.0,1309.0,0.84,200.394,-0.46
1.9,8.6,5730.0,1309.0,0.88,200.394,-0.53
10.42437,410.0007,5627.0,1178.0,1.007,635.722,0.18
10.558878,587.9855,5027.0,719.0,0.832,475.758,0.41
10.44677001,638.83509807,4920.0,701.0,0.86,475.758,0.41
10.59248676,638.83509807,4899.0,701.4,0.863,475.758,0.42
12.498035,266.9772,5560.0,682.0,0.831,413.591,-0.22
